Numero,Nom du voilier,Classe,Année de construction,Photo du voilier,Nom du skipper,Age du skipper,Originaire,Nom du skipper,Age du skipper,Originaire,, 
1,#EMPOWHER,Class40,2021,https://www.transatcafelor.org/sites/default/files/styles/crop_1800_607/public/2025-06/empowher.jpg.webp?itok=Euo0m7Ve,Pamela LEE,37,Dublin,Jay THOMPSON,37,États-Unis d'Amérique,Adam,
2,11th Hour Racing,Imoca,2022,https://www.transatcafelor.org/sites/default/files/styles/crop_1800_607/public/2025-07/11TH%20HOUR%20RACING%20-%20Imoca.jpg.webp?itok=FtiSUJ_a,Francesca CLAPCICH ,37,Trieste, Will HARRIS,31,Hampshire,Adam,
3,4CAD - LA MIE CÂLINE,Imoca,2015,https://www.transatcafelor.org/sites/default/files/styles/crop_1800_607/public/2025-07/4%20CAD%20-%20LA%20MIE%20CALINE%20-%20Imoca.jpg.webp?itok=70FnGUcH,Arnaud BOISSIÈRES,53, Les Sables d'Olonne,Benjamin DUTREUX ,35,Les Sables d'Olonne,Adam,
4,ACTUAL ULTIM 4,Ultim,2017,https://www.transatcafelor.org/sites/default/files/styles/crop_1800_607/public/2025-07/ACTUAL%20ULTIM%204%20%C2%A9Ronan_Gladu.jpg.webp?itok=iEu877I4,Anthony MARCHAND,40,Saint-Brieuc,Julien VILLION,38,Lorient,Adam,
5,AIRVANCE OCÉAN TERÉLIAN,Class40,2019,https://www.transatcafelor.org/sites/default/files/styles/crop_1800_607/public/2025-10/AIRVANCE%20OC%C3%89LIAN%20TER%C3%89LIAN%20-%20Class40.jpg.webp?itok=HVxv8_z7,Théa KHELIF,26,calais,Marion ENGELHARD,43,Havre,Heddi,
6,ALDERAN,Class40,2022,https://www.transatcafelor.org/sites/default/files/styles/crop_1800_607/public/2025-06/alderan.jpg.webp?itok=1JaFi1pB,Sasha LANIECE,32,Paris,Sanni BEUCKE,34,Kiel,Heddi,
7,ALLAGRANDE MAPEI,Imoca,2023,https://www.transatcafelor.org/sites/default/files/styles/crop_1800_607/public/2025-08/ALLAGRANDE%20MAPEI-Imoca.jpg.webp?itok=FypE7x1c,Ambrogio BECCARIA,34,Milan,Thomas RUYANT,44,Saint-Pol-sur-Mer,Heddi,
8,ALTERNATIVE SAILING- LES CONSTRUCTIONS,Class40,2023,https://www.transatcafelor.org/sites/default/files/styles/crop_1800_607/public/2025-06/alternative_sailing_-_les_constructions_de_belon.jpg.webp?itok=PYkuBV7v,Guillaume L'HOSTIS,32,Brest,Antoine LE MANCHEC,40,Chartres,Heddi,
9,AMARRIS,Class40,2022,https://www.transatcafelor.org/sites/default/files/styles/crop_1800_607/public/2025-06/amarris.jpg.webp?itok=TPlQAkao,Achille NEBOUT,35,Montpellier,Gildas MAHÉ,50,Concarneau,Thomas.C,
10,ASSOCIATION PETITS PRINCES - QUEGUINER,Imoca,2025,https://www.transatcafelor.org/sites/default/files/styles/crop_1800_607/public/2025-07/ASSOCIATION%20PETITS%20PRINCES%20-%20QUEGUINER%20-%20Imoca%20-%20%C2%A9Romain%20mari.jpg.webp?itok=ynOlajzQ,Elodie BONAFOUS,30,Morlaix,Yann ELIES,51,Saint-Brieuc,Thomas.C,
11,BELCO-CEC,Class40,2016,https://www.transatcafelor.org/sites/default/files/styles/crop_1800_607/public/2025-06/cec_belco.jpg.webp?itok=QyvjClZA,Louis MAYAUD,36,Beauvais,Alexandre BELLANGÉ,43,Harfleu,Thomas.C,
12,BLEU BLANC PLANETE LOCATION,Class40,2024,https://www.transatcafelor.org/sites/default/files/styles/crop_1800_607/public/2025-06/bleu_blanc_planete_location.jpg.webp?itok=Vi1QCMTW,Quentin LE NABOUR,37,Saint-Malo,Thierry CHABAGNY,52,Neuilly-sur-Seine,Thomas.C,
13,BUREAU VALLÉE,Imoca,2020,https://www.transatcafelor.org/sites/default/files/styles/crop_1800_607/public/2025-09/BUREAU%20VALL%C3%89E%20-%20IMOCA%20%40%20Benjamin%20Sellier_wind4production.com_.png.webp?itok=ML97VaFk,Louis BURTON,40,Evry,Clément COMMAGNAC,30,Saint Brieuc,Thomas P,
14,CAFÉ JOYEUX,Imoca,2011,https://www.transatcafelor.org/sites/default/files/styles/crop_1800_607/public/2025-09/CAFE%20JOYEUX%20-%20IMOCA.jpeg.webp?itok=ompeE8Fo,Nicolas D'ESTAIS,34,Paris,Simon KOSTER,37,Zurich - Suisse,Thomas P,
15,CENTRAKOR HIRSH,Class40,2022,https://www.transatcafelor.org/sites/default/files/styles/crop_1800_607/public/2025-10/CENTRAKOR%20-%20class40.jpg.webp?itok=VOa9mD6x,Mikael MERGUI,44,Hyeres,Kéni PIPEROL,Non référencé,Saint Vivien de Médoc,Thomas P,
16,CHARAL,Imoca,2022,https://www.transatcafelor.org/sites/default/files/styles/crop_1800_607/public/2023-10/231015_mlr_charal_155.jpg.webp?itok=y-sfi3H_,Jérémie BEYOU,49,Landivisiau,Morgan LAGRAVIÈRE,38,Saint-Paul (La Réunion),Thomas P,
17,COUP DE POUCE,Imoca,2010,https://www.transatcafelor.org/sites/default/files/styles/crop_1800_607/public/2025-09/COUP%20DE%20POUCE%20-%20Imoca.jpg.webp?itok=dTtCLDKU,Manuel COUSIN,58,Rouen,Jean-Baptiste DARAM,44,BIARRITZ,Romain,
18,CROSSCALL,Class40,2020,https://www.transatcafelor.org/sites/default/files/styles/crop_1800_607/public/2025-06/crosscall.jpg.webp?itok=kfXQqKpy,Aurélien DUCROZ,42,SERVOZ,Jonathan CHODKIEWIEZ,42,Villeneuve Saint-Georges,Romain,
19,DÉFI SOLIDAIRE AVEC ELLYE ET L'ARCHE,Class40,2022,https://www.transatcafelor.org/sites/default/files/styles/crop_1800_607/public/2025-08/DEFI%20SOLIDAIRE%20AVEC%20ELLYE%20ET%20L%27ARCHE%20-%20Class40.jpg.webp?itok=DWVmQli6,Nicolas JOSSIER,49,Granville,Sophie FAGUET,38,Rouen,Romain,
20,EDENRED 5,Ocean Fifty,2025,https://www.transatcafelor.org/sites/default/files/styles/crop_1800_607/public/2025-09/EDENRED-Ocean%20Fifty.JPG.webp?itok=8YErlYtU,Emmanuel LE ROCH,53,Plouharnel,Basile BOURGNON,23,Saint-Philibert,Romain,
21,EKINOX,Class40,2025,https://media.ouest-france.fr/v1/pictures/MjAyNTEwNWYyNTQ0MDhlNGM4ZWYxZjQyZjhhNzZhM2FjYjdiODU?width=375&focuspoint=50%2C25&cropresize=1&client_id=bpeditorial&sign=499ba4fa1a99e1561b714f62b4a42b5c2cd3f1524d77937b14dd244e4deab2f7,Benoît SINEAU,54,Argenteuil,Alberto RIVA,33,Milan,Achille,
22,ENGIE - DESSINE-MOI LA HIGH-TECH,Class40,2022,https://www.transatcafelor.org/sites/default/files/styles/crop_1800_607/public/2025-06/cap_pour_elles_avec_engie.jpg.webp?itok=VO6lvHxu,Aina BAUZA ROIG,30,Palma de Mallorca,Axelle PILLAIN,35,Saint-Renan,Achille,
23,ESATCO,Class40,2014,https://www.transatcafelor.org/sites/default/files/styles/crop_1800_607/public/2025-09/ESATCO%20-%20Class40.jpeg.webp?itok=m_bFqoGQ,Nicolas GUIBAL,42,Nantes,Gauthier BRIL,24,Corée du Sud,Achille,
24,FDJ UNITED - WEWISE,Imoca,2007,https://www.transatcafelor.org/sites/default/files/styles/crop_1800_607/public/2025-07/FDJ%20UNITED%20-%20WEWISE%20-%20Imoca.png.webp?itok=GaBX3SCf,Fabrice AMEDEO,47,VANNES,Andreas BADEN,Non réferencé,Kiel - Allemagne,Achille,
25,FIVES GROUP - LANTANA ENVIRONNEMENT,Imoca,2006,https://www.transatcafelor.org/sites/default/files/styles/crop_1800_607/public/2025-06/five_group_lantana_environnement.jpg.webp?itok=tH8N8K7o,Louis DUC,42,Cherbourg,Masa SUZUKI,40,Chiba,Nathanael GD,
26,FORTINET - BEST WESTERN,Imoca,2015,https://www.transatcafelor.org/sites/default/files/styles/crop_1800_607/public/2025-08/FORTINET-BEST%20WESTERN-Imoca.jpg.webp?itok=E7G1vQV2,Romain ATTANASIO,48,Paris,Maxime SOREL,41,Cancale,Nathanael GD,
27,INFLUENCE2,Class40,2023,https://www.transatcafelor.org/sites/default/files/styles/crop_1800_607/public/2025-07/INFLUENCE2-Class40.jpg.webp?itok=VJ2QHLkG,Andrea FORNARO,48,Rome,Alessandro TORRESANI,27,Rome,Nathanael GD,
